Red,Green,Blue,Class
93.32705415,108.2362643,95.18581222,0
147.5615873,152.2568056,143.3452183,0
194.4936145,201.5186021,196.8474606,0
145.0208176,149.5715679,117.1798352,0
143.1991543,146.4244734,132.1314792,0
179.4658929,186.0299802,188.576627,0
184.0267857,188.1307143,195.1011905,0
100.8693691,129.9682663,56.91276701,0
113.5938174,129.3471846,87.69199581,0
152.2130053,167.9523034,152.1082118,0
106.8423845,145.1986687,73.96280179,0
69.28236463,69.85732737,88.85152509,0
55.4779684,73.34780878,126.5399037,0
92.75354084,96.78964921,69.61841827,0
202.2879736,205.3787772,212.8582356,0
55.29592099,95.37712593,100.8852148,0
113.8442325,134.89693,94.16468952,0
159.0221259,173.5357185,179.0050407,0
103.5188724,97.64835165,77.47734512,0
44.89629409,56.46990561,83.46263289,0
218.271492,175.843888,173.463588,1
211.7516247,160.365842,151.1773383,1
203.7080238,170.8705615,168.5988147,1
204.3092095,155.6416996,145.9898419,1
231.1484408,187.6201959,194.3105449,1
220.720284,173.4270588,166.2311388,1
219.5612655,155.7479707,140.8546914,1
199.0135111,134.1495704,123.124642,1
213.510637,168.8231506,167.1270914,1
231.2435418,180.733531,145.4987462,1
223.8720934,165.2196746,150.2561656,1
208.3823355,171.7488715,188.1725667,1
234.5795358,190.6885136,192.366163,1
227.6726914,159.4894815,154.2368,1
220.720284,173.4270588,166.2311388,1
210.5940988,166.7560967,165.0883129,1
197.1215222,150.2845556,149.8835444,1
231.20648,209.527092,211.190964,1
227.8801841,160.7083383,158.5100607,1
160.4533744,86.42348154,83.55746328,1
